run,file,tag,split,n,em,f1,sthr,entity_hit,by_type,by_hop,by_probe,by_template
graphtoken_hardmix,graphtoken_hardmix_hard_hard_struct_metrics.json,graphtoken_hardmix_hard,hard_struct,400,0.98,0.98,0.0,0.98,"{""H4"": {""n"": 80, ""em"": 1.0, ""f1"": 1.0}, ""H3"": {""n"": 136, ""em"": 0.9779411764705882, ""f1"": 0.9779411764705882}, ""H2"": {""n"": 72, ""em"": 1.0, ""f1"": 1.0}, ""H1"": {""n"": 58, ""em"": 0.9137931034482759, ""f1"": 0.9137931034482759}, ""H5"": {""n"": 54, ""em"": 1.0, ""f1"": 1.0}}","{""single"": {""n"": 346, ""em"": 0.976878612716763, ""f1"": 0.976878612716763}, ""multi"": {""n"": 54, ""em"": 1.0, ""f1"": 1.0}}","{""dom"": {""n"": 78, ""em"": 1.0, ""f1"": 1.0}, ""bind"": {""n"": 124, ""em"": 1.0, ""f1"": 1.0}, ""visual"": {""n"": 88, ""em"": 1.0, ""f1"": 1.0}, ""cell"": {""n"": 73, ""em"": 0.8904109589041096, ""f1"": 0.8904109589041096}}","{""crossed_figures"": {""n"": 92, ""em"": 1.0, ""f1"": 1.0}, ""confusable_catalog"": {""n"": 107, ""em"": 1.0, ""f1"": 1.0}, ""rtl_toolbar"": {""n"": 108, ""em"": 1.0, ""f1"": 1.0}, ""dense_ledger"": {""n"": 93, ""em"": 0.9139784946236559, ""f1"": 0.9139784946236559}}"
webgap_sft,pub_visualwebbench_webgap_sft_metrics.json,pub_visualwebbench_webgap_sft,,300,0.16666666666666666,0.2802414185902462,0.07407407407407407,0.18,"{""pub"": {""n"": 300, ""em"": 0.16666666666666666, ""f1"": 0.2802414185902462}}","{""single"": {""n"": 300, ""em"": 0.16666666666666666, ""f1"": 0.2802414185902462}, ""multi"": {""n"": 0, ""em"": 0.0, ""f1"": 0.0}}",{},{}
webgap_sft,webgap_sft_hard_struct_hard_struct_metrics.json,webgap_sft_hard_struct,hard_struct,1500,0.706,0.7068253968253969,0.0,0.706,"{""H5"": {""n"": 240, ""em"": 0.7666666666666667, ""f1"": 0.7666666666666667}, ""H1"": {""n"": 190, ""em"": 0.8421052631578947, ""f1"": 0.8421052631578947}, ""H3"": {""n"": 502, ""em"": 0.7310756972111554, ""f1"": 0.7310756972111554}, ""H4"": {""n"": 307, ""em"": 0.46579804560260585, ""f1"": 0.46796959826275786}, ""H2"": {""n"": 261, ""em"": 0.7854406130268199, ""f1"": 0.7876299945265463}}","{""single"": {""n"": 1260, ""em"": 0.6944444444444444, ""f1"": 0.6954270597127741}, ""multi"": {""n"": 240, ""em"": 0.7666666666666667, ""f1"": 0.7666666666666667}}","{""dom"": {""n"": 311, ""em"": 0.0, ""f1"": 0.0}, ""cell"": {""n"": 250, ""em"": 0.896, ""f1"": 0.896}, ""visual"": {""n"": 390, ""em"": 0.9051282051282051, ""f1"": 0.9068376068376068}, ""bind"": {""n"": 438, ""em"": 0.9726027397260274, ""f1"": 0.9739073711676451}}","{""crossed_figures"": {""n"": 355, ""em"": 0.38028169014084506, ""f1"": 0.3821596244131455}, ""dense_ledger"": {""n"": 305, ""em"": 0.7344262295081967, ""f1"": 0.7344262295081967}, ""rtl_toolbar"": {""n"": 456, ""em"": 0.7192982456140351, ""f1"": 0.7192982456140351}, ""confusable_catalog"": {""n"": 384, ""em"": 0.96875, ""f1"": 0.9702380952380952}}"
webgap_sft,pub_websrc_webgap_sft_metrics.json,pub_websrc_webgap_sft,,300,0.92,0.9333333333333336,0.0,0.92,"{""pub"": {""n"": 300, ""em"": 0.92, ""f1"": 0.9333333333333336}}","{""single"": {""n"": 300, ""em"": 0.92, ""f1"": 0.9333333333333336}, ""multi"": {""n"": 0, ""em"": 0.0, ""f1"": 0.0}}",{},{}
webgap_sft,webgap_sft_hard_hard_struct_metrics.json,webgap_sft_hard,hard_struct,400,0.705,0.705,0.0,0.705,"{""H4"": {""n"": 80, ""em"": 0.5, ""f1"": 0.5}, ""H3"": {""n"": 136, ""em"": 0.7058823529411765, ""f1"": 0.7058823529411765}, ""H2"": {""n"": 72, ""em"": 0.8055555555555556, ""f1"": 0.8055555555555556}, ""H1"": {""n"": 58, ""em"": 0.8103448275862069, ""f1"": 0.8103448275862069}, ""H5"": {""n"": 54, ""em"": 0.7592592592592593, ""f1"": 0.7592592592592593}}","{""single"": {""n"": 346, ""em"": 0.6965317919075145, ""f1"": 0.6965317919075145}, ""multi"": {""n"": 54, ""em"": 0.7592592592592593, ""f1"": 0.7592592592592593}}","{""dom"": {""n"": 78, ""em"": 0.0, ""f1"": 0.0}, ""bind"": {""n"": 124, ""em"": 0.967741935483871, ""f1"": 0.967741935483871}, ""visual"": {""n"": 88, ""em"": 0.9431818181818182, ""f1"": 0.9431818181818182}, ""cell"": {""n"": 73, ""em"": 0.8493150684931506, ""f1"": 0.8493150684931506}}","{""crossed_figures"": {""n"": 92, ""em"": 0.42391304347826086, ""f1"": 0.42391304347826086}, ""confusable_catalog"": {""n"": 107, ""em"": 0.9626168224299065, ""f1"": 0.9626168224299065}, ""rtl_toolbar"": {""n"": 108, ""em"": 0.7222222222222222, ""f1"": 0.7222222222222222}, ""dense_ledger"": {""n"": 93, ""em"": 0.6666666666666666, ""f1"": 0.6666666666666666}}"
webgap_sft,webgap_sft_leaked_templates_leaked_templates_metrics.json,webgap_sft_leaked_templates_leaked_templates_metrics,,200,1.0,1.0,0.0,1.0,"{""H1"": {""n"": 56, ""em"": 1.0, ""f1"": 1.0}, ""H3"": {""n"": 75, ""em"": 1.0, ""f1"": 1.0}, ""H2"": {""n"": 34, ""em"": 1.0, ""f1"": 1.0}, ""H5"": {""n"": 22, ""em"": 1.0, ""f1"": 1.0}, ""H4"": {""n"": 13, ""em"": 1.0, ""f1"": 1.0}}","{""single"": {""n"": 178, ""em"": 1.0, ""f1"": 1.0}, ""multi"": {""n"": 22, ""em"": 1.0, ""f1"": 1.0}}",{},{}
webgap_sft,webgap_sft_heldout_heldout_metrics.json,webgap_sft_heldout_heldout_metrics,,500,1.0,1.0,0.0,1.0,"{""H5"": {""n"": 53, ""em"": 1.0, ""f1"": 1.0}, ""H4"": {""n"": 49, ""em"": 1.0, ""f1"": 1.0}, ""H2"": {""n"": 96, ""em"": 1.0, ""f1"": 1.0}, ""H3"": {""n"": 201, ""em"": 1.0, ""f1"": 1.0}, ""H1"": {""n"": 101, ""em"": 1.0, ""f1"": 1.0}}","{""single"": {""n"": 447, ""em"": 1.0, ""f1"": 1.0}, ""multi"": {""n"": 53, ""em"": 1.0, ""f1"": 1.0}}",{},{}
webgap_sft,webgap_sft_medium_struct_medium_struct_metrics.json,webgap_sft_medium_struct,medium_struct,800,0.98125,0.98125,0.0,0.98125,"{""H1"": {""n"": 179, ""em"": 1.0, ""f1"": 1.0}, ""H5"": {""n"": 162, ""em"": 1.0, ""f1"": 1.0}, ""H4"": {""n"": 165, ""em"": 1.0, ""f1"": 1.0}, ""H3"": {""n"": 173, ""em"": 1.0, ""f1"": 1.0}, ""H2"": {""n"": 121, ""em"": 0.8760330578512396, ""f1"": 0.8760330578512396}}","{""single"": {""n"": 638, ""em"": 0.9764890282131662, ""f1"": 0.9764890282131662}, ""multi"": {""n"": 162, ""em"": 1.0, ""f1"": 1.0}}","{""bind"": {""n"": 139, ""em"": 1.0, ""f1"": 1.0}, ""cell"": {""n"": 180, ""em"": 1.0, ""f1"": 1.0}, ""dom"": {""n"": 328, ""em"": 0.9542682926829268, ""f1"": 0.9542682926829268}, ""visual"": {""n"": 153, ""em"": 1.0, ""f1"": 1.0}}","{""near_confusable"": {""n"": 139, ""em"": 1.0, ""f1"": 1.0}, ""compact_ledger"": {""n"": 180, ""em"": 1.0, ""f1"": 1.0}, ""offset_captions"": {""n"": 209, ""em"": 1.0, ""f1"": 1.0}, ""swap_nav_pair"": {""n"": 272, ""em"": 0.9448529411764706, ""f1"": 0.9448529411764706}}"
lora_sft,lora_sft_leaked_templates_leaked_templates_metrics.json,lora_sft_leaked_templates_leaked_templates_metrics,,200,1.0,1.0,0.0,1.0,"{""H1"": {""n"": 56, ""em"": 1.0, ""f1"": 1.0}, ""H3"": {""n"": 75, ""em"": 1.0, ""f1"": 1.0}, ""H2"": {""n"": 34, ""em"": 1.0, ""f1"": 1.0}, ""H5"": {""n"": 22, ""em"": 1.0, ""f1"": 1.0}, ""H4"": {""n"": 13, ""em"": 1.0, ""f1"": 1.0}}","{""single"": {""n"": 178, ""em"": 1.0, ""f1"": 1.0}, ""multi"": {""n"": 22, ""em"": 1.0, ""f1"": 1.0}}",{},{}
lora_sft,pub_websrc_lora_sft_metrics.json,pub_websrc_lora_sft,,300,0.92,0.9333333333333336,0.0,0.92,"{""pub"": {""n"": 300, ""em"": 0.92, ""f1"": 0.9333333333333336}}","{""single"": {""n"": 300, ""em"": 0.92, ""f1"": 0.9333333333333336}, ""multi"": {""n"": 0, ""em"": 0.0, ""f1"": 0.0}}",{},{}
